expel_turks_title;Expel the Turks;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
expel_turks_desc;Once more, as years and time go by, once more they are finally ours. After over half a millennium, Constantinople, and the Greek Lands in Anatolia, have finally been reclaimed from the Turks! The time has come to expel the Turks from our lands once and for all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
bulgaria_rename_rumelia_title;Rename Eastern Rumelia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
bulgaria_rename_rumelia_desc;Eastern Rumelia was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_rumelia_title;Rename Northern Thrace;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_rumelia_desc;Northern Thrace is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_rumelia_title;Rename Eastern Rumelia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_rumelia_desc;Eastern Rumelia is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_epirus_title;Rename Epirus!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_epirus_desc;Epirus is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
albanian_rename_epirus_title;Rename Epiri!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
albanian_rename_epirus_desc;Epiri is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
bulgarian_rename_e_macedonia_title;Rename Eastern Macedonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
bulgarian_rename_e_macedonia_desc;Eastern Macedonia was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_e_macedonia_title;Rename Eastern Macedonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_e_macedonia_desc;Eastern Macedonia was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_n_macedonia_title;Rename Paionia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_n_macedonia_desc;Paionia was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
bulgarian_rename_n_macedonia_title;Rename Vardar Macedonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
bulgarian_rename_n_macedonia_desc;Vardar Macedonia was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
serbian_rename_n_macedonia_title;Rename Vardar Macedonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
serbian_rename_n_macedonia_desc;Vardar Macedonia was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_aydin_title;Rename Ionia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_aydin_desc;Ionia is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_aydin_title;Rename Aydin;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_aydin_desc;Aydin is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_hudavendigar_title;Rename Vithinia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_hudavendigar_desc;Vithinia is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_hudavendigar_title;Rename Hudavendigar;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_hudavendigar_desc;Hudavendigar is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_e_thrace_title;Rename Eastern Thrace;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_e_thrace_desc;Eastern Thrace is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
bulgarian_rename_e_thrace_title;Rename Eastern Thrace;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
bulgarian_rename_e_thrace_desc;Eastern Thrace was a artificial name created to seperate the $COUNTRY_ADJ$ people! The use of its name shall be discontinued!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_e_thrace_title;Rename Thrace;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
turkish_rename_e_thrace_desc;Thrace is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_konya_title;Rename Pisidia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
greek_rename_konya_desc;Pisidia is rightfully rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
