name = "World War One"

1914.9.1 = {
	add_attacker = GER
	add_defender = ENG
        add_attacker = KUK
	add_defender = SER
        add_attacker = TUR
	add_defender = RUS
	add_defender = HND
	add_defender = SAF
	add_defender = BEL
	add_defender = MON
	add_defender = CAN
	add_defender = JAP
	add_defender = FRA
	add_defender = AST
	add_defender = NZL
	# actor
	# receiver
	# casus_belli - cb type
	# country - 3rd party
	# state_province_id - target state capital
	war_goal = {
		casus_belli = conquest
		actor = KUK
		receiver = SER
	}
}

1918.11.11 = {
	rem_attacker = GER
	rem_defender = ENG
        rem_attacker = KUK
	rem_defender = SER
        rem_attacker = TUR
	rem_defender = RUS
	rem_defender = HND
	rem_defender = SAF
	rem_defender = BEL
	rem_defender = MON
	rem_defender = CAN
	rem_defender = JAP
	rem_defender = FRA
	rem_defender = AST
	rem_defender = NZL
}
